2025-06-24 00:08:47,637 [INFO] [API]: API Key: qaZrwTjzqpRtFfePqbRqgWMRq-0nq-tosZVeHl-FuOA, Method: GET, Query: select SO_No, Sum(Final_Order_Qty) as Total_Qty from dealer_db.whoms_order_calculation where Type_of_Order = 'Direct Order' group by SO_No UNION select SO_No, Sum(Final_Order_Qty) as Total_Qty from dealer_db.whoms_order_calculation_corporate where Type_of_Order = 'Direct Order' group by SO_No
2025-06-24 05:48:47,503 [INFO] [API]: API Key: qaZrwTjzqpRtFfePqbRqgWMRq-0nq-tosZVeHl-FuOA, Method: GET, Query: select SO_No, Sum(Final_Order_Qty) as Total_Qty from dealer_db.whoms_order_calculation where Type_of_Order = 'Direct Order' group by SO_No UNION select SO_No, Sum(Final_Order_Qty) as Total_Qty from dealer_db.whoms_order_calculation_corporate where Type_of_Order = 'Direct Order' group by SO_No
2025-06-24 06:28:47,834 [INFO] [API]: API Key: qaZrwTjzqpRtFfePqbRqgWMRq-0nq-tosZVeHl-FuOA, Method: GET, Query: select SO_No, Sum(Final_Order_Qty) as Total_Qty from dealer_db.whoms_order_calculation where Type_of_Order = 'Direct Order' group by SO_No UNION select SO_No, Sum(Final_Order_Qty) as Total_Qty from dealer_db.whoms_order_calculation_corporate where Type_of_Order = 'Direct Order' group by SO_No
2025-06-24 06:48:56,939 [INFO] [API]: API Key: qaZrwTjzqpRtFfePqbRqgWMRq-0nq-tosZVeHl-FuOA, Method: GET, Query: select SO_No, Sum(Final_Order_Qty) as Total_Qty from dealer_db.whoms_order_calculation where Type_of_Order = 'Direct Order' group by SO_No UNION select SO_No, Sum(Final_Order_Qty) as Total_Qty from dealer_db.whoms_order_calculation_corporate where Type_of_Order = 'Direct Order' group by SO_No
2025-06-24 06:58:51,896 [INFO] [API]: API Key: qaZrwTjzqpRtFfePqbRqgWMRq-0nq-tosZVeHl-FuOA, Method: GET, Query: select SO_No, Sum(Final_Order_Qty) as Total_Qty from dealer_db.whoms_order_calculation where Type_of_Order = 'Direct Order' group by SO_No UNION select SO_No, Sum(Final_Order_Qty) as Total_Qty from dealer_db.whoms_order_calculation_corporate where Type_of_Order = 'Direct Order' group by SO_No
2025-06-24 08:38:47,377 [INFO] [API]: API Key: qaZrwTjzqpRtFfePqbRqgWMRq-0nq-tosZVeHl-FuOA, Method: GET, Query: select SO_No, Sum(Final_Order_Qty) as Total_Qty from dealer_db.whoms_order_calculation where Type_of_Order = 'Direct Order' group by SO_No UNION select SO_No, Sum(Final_Order_Qty) as Total_Qty from dealer_db.whoms_order_calculation_corporate where Type_of_Order = 'Direct Order' group by SO_No
2025-06-24 09:18:47,911 [INFO] [API]: API Key: qaZrwTjzqpRtFfePqbRqgWMRq-0nq-tosZVeHl-FuOA, Method: GET, Query: select SO_No, Sum(Final_Order_Qty) as Total_Qty from dealer_db.whoms_order_calculation where Type_of_Order = 'Direct Order' group by SO_No UNION select SO_No, Sum(Final_Order_Qty) as Total_Qty from dealer_db.whoms_order_calculation_corporate where Type_of_Order = 'Direct Order' group by SO_No
2025-06-24 10:38:47,423 [INFO] [API]: API Key: qaZrwTjzqpRtFfePqbRqgWMRq-0nq-tosZVeHl-FuOA, Method: GET, Query: select SO_No, Sum(Final_Order_Qty) as Total_Qty from dealer_db.whoms_order_calculation where Type_of_Order = 'Direct Order' group by SO_No UNION select SO_No, Sum(Final_Order_Qty) as Total_Qty from dealer_db.whoms_order_calculation_corporate where Type_of_Order = 'Direct Order' group by SO_No
2025-06-24 10:58:49,831 [INFO] [API]: API Key: qaZrwTjzqpRtFfePqbRqgWMRq-0nq-tosZVeHl-FuOA, Method: GET, Query: select SO_No, Sum(Final_Order_Qty) as Total_Qty from dealer_db.whoms_order_calculation where Type_of_Order = 'Direct Order' group by SO_No UNION select SO_No, Sum(Final_Order_Qty) as Total_Qty from dealer_db.whoms_order_calculation_corporate where Type_of_Order = 'Direct Order' group by SO_No
2025-06-24 11:38:47,529 [INFO] [API]: API Key: qaZrwTjzqpRtFfePqbRqgWMRq-0nq-tosZVeHl-FuOA, Method: GET, Query: select SO_No, Sum(Final_Order_Qty) as Total_Qty from dealer_db.whoms_order_calculation where Type_of_Order = 'Direct Order' group by SO_No UNION select SO_No, Sum(Final_Order_Qty) as Total_Qty from dealer_db.whoms_order_calculation_corporate where Type_of_Order = 'Direct Order' group by SO_No
2025-06-24 12:08:47,459 [INFO] [API]: API Key: qaZrwTjzqpRtFfePqbRqgWMRq-0nq-tosZVeHl-FuOA, Method: GET, Query: select SO_No, Sum(Final_Order_Qty) as Total_Qty from dealer_db.whoms_order_calculation where Type_of_Order = 'Direct Order' group by SO_No UNION select SO_No, Sum(Final_Order_Qty) as Total_Qty from dealer_db.whoms_order_calculation_corporate where Type_of_Order = 'Direct Order' group by SO_No
